"Word","Word_Croatian","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","N_perceptual","N_action","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"aqueduct","akvadukt",0.6,0,1.48571428571429,0.314285714285714,0,3.02857142857143,1.17142857142857,1.82857142857143,0.828571428571429,0.685714285714286,1.68571428571429,0.553066318754972,0,0.562108874289156,0.529785115785224,0,0.984757787052056,1.38236188089368,1.38236188089368,0.706512323930409,0.758149006440282,0.866752850702944,35,35,3.02857142857143,3.15166048159751,0.557894736842105,"Visual",1.82857142857143,2.37538962942865,0.184331797235023,"Hand_arm",3.02857142857143,3.54919397592415,0.26044226044226,"Visual"
"amphora","amfora",0.257142857142857,0.0285714285714286,2.05714285714286,0.485714285714286,0.0285714285714286,3.11428571428571,0.657142857142857,3.11428571428571,1.11428571428571,1.51428571428571,1.48571428571429,0.44343957363116,0.169030850945703,0.80230759624448,0.50709255283711,0.169030850945703,0.900046684130021,0.591252764841547,1.07843646548326,1.02243735811076,1.35844696299138,0.950895199626263,35,35,3.11428571428571,3.39242515539497,0.516746411483254,"Visual",3.11428571428571,3.38027525697184,0.311594202898551,"Hand_arm",3.11428571428571,4.26654763787133,0.222680412371134,"Hand_arm"
"archaeologist","arheolog",0.914285714285714,0,0.942857142857143,0.285714285714286,0.0285714285714286,3.05714285714286,0.457142857142857,2.88571428571429,2.17142857142857,0.771428571428571,1.51428571428571,0.562108874289156,0,0.481593991977935,0.458349248514106,0.169030850945703,0.998317913022793,0.657215925787898,1.23124586762946,0.663578280577191,0.689659518966309,0.781078762746399,35,35,3.05714285714286,3.1140612501095,0.584699453551913,"Visual",2.88571428571429,3.37067670406281,0.311355311355311,"Hand_arm",3.05714285714286,4.09151608391705,0.234649122807018,"Visual"
"arcade","arkada",1.11428571428571,0.114285714285714,1.37142857142857,1.4,0.0857142857142857,2.51428571428571,1.08571428571429,3.4,1.68571428571429,0.971428571428571,2.02857142857143,0.758149006440282,0.403763804821623,0.843163311433734,0.913944263971857,0.28402864099869,1.19733597848647,1.06747168501995,0.945577943407535,0.90004668413002,0.954423579836489,0.890661165047837,35,35,2.51428571428571,2.8274282260574,0.367965367965368,"Visual",3.4,3.79460184500081,0.264797507788162,"Hand_arm",3.4,4.25877193288678,0.210144927536232,"Hand_arm"
"plane","avion",3.05714285714286,0,1.2,0.542857142857143,0,4.28571428571429,1.85714285714286,3.25714285714286,1.45714285714286,0.857142857142857,1.82857142857143,0.80230759624448,0,0.405839724956714,0.505432670960188,0,0.458349248514106,1.3315814821848,1.01003369608488,1.0666841735258,0.91210348815759,0.890661165047837,35,35,4.28571428571429,4.77944931200002,0.471698113207547,"Visual",3.25714285714286,3.70352705235277,0.259259259259259,"Hand_arm",4.28571428571429,5.42855929294214,0.233644859813084,"Visual"
"throwing","bacanje",0.8,0,3.17142857142857,1.37142857142857,0,2,1.6,4.34285714285714,0.828571428571429,1.05714285714286,1.77142857142857,0.472788971703768,0,0.746982726224182,0.689659518966309,0,0.939336436627724,1.28795323261824,0.481593991977935,0.513678446324632,1.02735689264926,0.807527609643246,35,35,3.17142857142857,3.50311299565225,0.431906614785992,"Haptic",4.34285714285714,4.53573165158729,0.366071428571429,"Hand_arm",4.34285714285714,5.14637296335664,0.256323777403035,"Hand_arm"
"throw","bacati",0.8,0,2.48571428571429,1.22857142857143,0,1.54285714285714,0.828571428571429,4.25714285714286,0.914285714285714,1.34285714285714,1.74285714285714,0.584103133520301,0,1.06747168501995,0.843163311433734,0,1.09390980225162,1.01418510567422,0.44343957363116,0.50709255283711,1.53283392183654,0.657215925787898,35,35,2.48571428571429,2.77623124053445,0.410377358490566,"Haptic",4.25714285714286,4.41745788772337,0.377358490566038,"Hand_arm",4.25714285714286,4.75631180813731,0.281132075471698,"Hand_arm"
"banana","banana",0.6,4.28571428571429,2.25714285714286,0.428571428571429,2.05714285714286,3.97142857142857,0.4,2.82857142857143,1.08571428571429,2.08571428571429,1,0.497050121747709,0.458349248514106,0.816839574675653,0.55760592693039,1.32715656115438,0.568057281997381,0.603908836127558,0.984757787052057,0.781078762746399,1.70417184599214,0.594088525786005,35,35,4.28571428571429,5.4497371811323,0.283613445378151,"Gustatory",2.82857142857143,3.24113486753476,0.328185328185328,"Hand_arm",4.28571428571429,5.80782913846078,0.185034013605442,"Gustatory"
"bank","banka",1.37142857142857,0,1.02857142857143,0.514285714285714,0,3.05714285714286,0.314285714285714,2.22857142857143,0.742857142857143,0.428571428571429,1.08571428571429,0.598316967231676,0,0.513678446324631,0.50709255283711,0,1.0555973258235,0.471008215953605,1.21475522312145,0.700540007794707,0.60806899210506,0.817867692860654,35,35,3.05714285714286,3.18718988930895,0.511961722488038,"Visual",2.22857142857143,2.34333578504364,0.398809523809524,"Hand_arm",3.05714285714286,3.56330588300367,0.283819628647215,"Visual"
"battery","baterija",0.114285714285714,0.0571428571428571,2.05714285714286,1.42857142857143,0,1.08571428571429,0.542857142857143,3.11428571428571,0.857142857142857,1,1.2,0.322802851090676,0.235504107976803,0.80230759624448,1.11897311868344,0,0.284028640998691,0.700540007794707,1.15736588783294,0.772423883280537,1.21267812518166,0.759256602365297,35,35,2.05714285714286,2.34543779544787,0.433734939759036,"Haptic",3.11428571428571,3.23077317939726,0.382978723404255,"Hand_arm",3.11428571428571,3.59920017264624,0.271820448877806,"Hand_arm"
